,Strang_order,N,beta,periodic,T,upsilon,sigma,p_dist,gamma,mean_var_R
0,0.0,100000.0,1.0,True,1.0,1e-05,1,1,1.0,1.2668932600993115
1,[0],100000,5.5581749271429057,True,1.0,1e-05,1,1,0.053992914321147466,1.2660001556201137
2,[0],100000,0.06843249322361282,True,1.0,1e-05,1,1,0.096286150313239907,1.2661359374252277
3,[0],100000,0.45998018175467598,True,1.0,1e-05,1,1,0.46431053484203849,1.2667059685204756
4,[0],100000,0.89131924018705688,True,1.0,1e-05,1,1,0.54404827645266496,1.2669247852760257
5,[0],100000,15.576941498912936,True,1.0,1e-05,1,1,0.027472596471450932,1.266436429098033
6,[0],100000,15.283556617918238,True,1.0,1e-05,1,1,2.4309862581769792,1.2666190133254431
7,[0],100000,0.21287404859986875,True,1.0,1e-05,1,1,0.032446896751149298,1.2665231751699746
8,[0],100000,0.61984918293365132,True,1.0,1e-05,1,1,0.10515662106904666,1.2662211766141511
9,[0],100000,0.99611261053690137,True,1.0,1e-05,1,1,3.0764722303352543,1.2665447275372093
10,[0],100000,0.53574511677306635,True,1.0,1e-05,1,1,0.32693775893751109,1.2663636333338126
11,[0],100000,1.444576155453948,True,1.0,1e-05,1,1,0.74113895700452415,1.2657493184518238
12,[0],100000,2.3749086435614681,True,1.0,1e-05,1,1,1.2842510925088875,1.2662125976576544
13,[0],100000,5.8662827201464527,True,1.0,1e-05,1,1,5.9073206817257473,1.2661869346840509
14,[0],100000,0.32818605283175412,True,1.0,1e-05,1,1,11.812536472843838,1.2660872106286789
15,[0],100000,6.5277245957549033,True,1.0,1e-05,1,1,0.10584506964317097,1.2667646507648032
16,[0],100000,0.66771243827227977,True,1.0,1e-05,1,1,2.1583186638445637,1.2665999040876332
17,[0],100000,3.0519454548403937,True,1.0,1e-05,1,1,0.040542475004895252,1.2659205764833648
18,[0],100000,1.6075420692813172,True,1.0,1e-05,1,1,3.9028961614410753,1.2662926918913686
19,[0],100000,1.3543429827218461,True,1.0,1e-05,1,1,0.22993680456131088,1.2666164841471712
20,[0],100000,7.2802698563710004,True,1.0,1e-05,1,1,2.6144955120571667,1.2662159207644326
21,[0],100000,1.1219356690011604,True,1.0,1e-05,1,1,1.4507645622146694,1.2667109182736982
22,[0],100000,0.0593213706386252,True,1.0,1e-05,1,1,0.40762137020008377,1.2661605071786062
23,[0],100000,0.17428668394176167,True,1.0,1e-05,1,1,2.816030316701057,1.2662044318528849
24,[0],100000,0.63785802303700034,True,1.0,1e-05,1,1,3.2023319767858047,1.266314706306235
25,[0],100000,0.22093978437201192,True,1.0,1e-05,1,1,2.5798903948077809,1.2661135419858167
26,[0],100000,0.16368838204161676,True,1.0,1e-05,1,1,0.51647848740038582,1.2664894180417021
27,[0],100000,30.94802944016083,True,1.0,1e-05,1,1,0.50243232334525834,1.2663638376724378
28,[0],100000,0.017107058538286167,True,1.0,1e-05,1,1,0.86349840440226511,1.2669284140589399
29,[0],100000,0.90911656767661086,True,1.0,1e-05,1,1,2.1494282872027086,1.266777110199147
30,[0],100000,0.59684759265139198,True,1.0,1e-05,1,1,15.635230455112715,1.2664608485990396
31,[0],100000,0.91346662725258365,True,1.0,1e-05,1,1,0.81703748926438158,1.2663103144448349
32,[0],100000,0.021359897618505271,True,1.0,1e-05,1,1,6.3208208220083897,1.2664213046165553
33,[0],100000,0.41462876297112378,True,1.0,1e-05,1,1,0.63524808859165294,1.2666358092247494
34,[0],100000,1.3738181257584374,True,1.0,1e-05,1,1,0.16121940299066054,1.2669310745147517
35,[0],100000,740.59044217492385,True,1.0,1e-05,1,1,2.4696056629331751,1.2658735702913961
36,[0],100000,0.2005457102399501,True,1.0,1e-05,1,1,0.13175272314212561,1.2665985030323252
37,[0],100000,1.4233587159451726,True,1.0,1e-05,1,1,2.4456131005843784,1.2661546803102264
38,[0],100000,15.601430826558365,True,1.0,1e-05,1,1,0.057851009416783297,1.2666618223395232
39,[0],100000,32.476749120172421,True,1.0,1e-05,1,1,0.28657485534370103,1.2658887991044605
40,[0],100000,14.447925576465153,True,1.0,1e-05,1,1,106.41168050917338,1.2662309283517381
41,[0],100000,0.27911797052478926,True,1.0,1e-05,1,1,0.30819418796862597,1.2665640763329822
42,[0],100000,0.22755168096192649,True,1.0,1e-05,1,1,0.1628969156555963,1.2668638184336314
43,[0],100000,1.3036307920534869,True,1.0,1e-05,1,1,14.930363624917177,1.2665130821515873
44,[0],100000,3.3345849173977116,True,1.0,1e-05,1,1,4.0121090473119478,1.2660715292729481
45,[0],100000,0.21771242066741076,True,1.0,1e-05,1,1,0.019796117184008866,1.2665629786816133
46,[0],100000,3.2603737820118055,True,1.0,1e-05,1,1,0.040420236499650986,1.2663531794574518
47,[0],100000,6.7886298891548691,True,1.0,1e-05,1,1,0.26386690844021948,1.2665096336440536
48,[0],100000,0.14795699021795766,True,1.0,1e-05,1,1,23.860916028555838,1.2663625284844588
49,[0],100000,0.18894347582805385,True,1.0,1e-05,1,1,0.4635156777287241,1.2663282262414677
50,[0],100000,11.25787255992339,True,1.0,1e-05,1,1,0.22163977769079063,1.2659929701286994
51,[0],100000,0.12042375706826841,True,1.0,1e-05,1,1,33.348079073476185,1.2665296683085536
52,[0],100000,2.9777241468150395,True,1.0,1e-05,1,1,221.42224094576767,1.2663071310860257
53,[0],100000,1.3017349377751648,True,1.0,1e-05,1,1,0.69191846327953521,1.2665470549139286
54,[0],100000,510.18426278080352,True,1.0,1e-05,1,1,39.007232620058367,1.2665612462821509
55,[0],100000,1.5761664597138103,True,1.0,1e-05,1,1,0.044607941706046955,1.2664518443494379
56,[0],100000,0.87514408358619888,True,1.0,1e-05,1,1,17.820471838534782,1.2667697848511368
57,[0],100000,8.943859565752371,True,1.0,1e-05,1,1,7.1072132539054396,1.2663097066996925
58,[0],100000,0.16848412926270181,True,1.0,1e-05,1,1,0.029470014901943706,1.2664721572385238
